image_file,rectum (直肠),Sigmoid colon and descending colon (乙状结肠和降结肠),ileocecal valve (回盲瓣),Fecal frame (粪便帧),ileocecal orifice (回盲口),Rectal inversion(直肠反转),ascending colon (升结肠),transverse colon (横结肠)
1682058070.126658.jpg,0,1,0,0,0,0,0,0
1687312694.208459.jpg,0,0,1,0,0,0,0,0
1687312537.829869.jpg,0,0,1,0,0,0,0,0
1687312699.838383.jpg,0,0,1,0,0,0,0,0
1687316380.9784539.jpg,0,0,0,0,0,1,0,0
1687316697.8342812.jpg,0,0,0,0,0,1,0,0
1682064970.9947767.jpg,0,0,0,1,0,0,1,0
1682577160.7249916.jpg,0,1,0,0,0,0,0,0
1687314299.2251797.jpg,0,0,0,0,0,0,1,0
1682061581.5376258.jpg,0,0,0,1,0,0,0,1
1687147440.523313.jpg,0,0,0,1,0,0,0,0
1687314355.1338573.jpg,0,1,0,0,0,0,0,0
1682040579.6360307.jpg,0,1,0,0,0,0,0,0
1687147366.1310484.jpg,0,0,0,1,0,0,0,0
1687313390.0416787.jpg,0,0,0,0,1,0,0,0
1687313379.0375383.jpg,0,0,0,0,1,0,0,0
1687315973.2688277.jpg,0,0,0,0,0,1,0,0
1687312127.7836616.jpg,0,0,0,0,0,0,0,1
1682577094.0069878.jpg,0,0,0,0,0,0,0,1
1687314715.7129817.jpg,1,0,0,0,0,0,0,0
1687314135.4105432.jpg,0,0,0,0,0,0,1,0
1682039213.3489277.jpg,0,0,0,1,0,0,0,0
1687314643.1175938.jpg,1,0,0,0,0,0,0,0
1687312695.5773504.jpg,0,0,1,0,0,0,0,0
1687314726.7138858.jpg,1,0,0,0,0,0,0,0
1687314618.4802449.jpg,1,0,0,0,0,0,0,0
1682575785.3594773.jpg,0,1,0,0,0,0,0,0
1687327089.0444164.jpg,0,0,0,0,0,1,0,0
1687314185.8820765.jpg,0,0,0,0,0,0,1,0
1682059998.8859975.jpg,0,0,0,0,0,0,1,0
1687314459.9115255.jpg,0,1,0,0,0,0,0,0
1687314468.5714145.jpg,0,1,0,0,0,0,0,0
1682039398.4173074.jpg,0,0,0,0,0,0,1,0
1687316710.116696.jpg,0,0,0,0,0,1,0,0
1687314708.7735918.jpg,1,0,0,0,0,0,0,0
1687314700.5061781.jpg,1,0,0,0,0,0,0,0
1687312697.0688546.jpg,0,0,1,0,0,0,0,0
1687147434.6913264.jpg,0,0,0,1,0,0,0,0
1687315972.0322218.jpg,0,0,0,0,0,1,0,0
1687312065.7729168.jpg,0,0,0,0,0,0,0,1
1687313316.2879708.jpg,0,0,0,0,1,0,0,0
1687314632.5256069.jpg,1,0,0,0,0,0,0,0
1687314458.0834284.jpg,0,1,0,0,0,0,0,0
1681980337.105365.jpg,1,0,0,0,0,0,0,0
1681981305.0691638.jpg,1,0,0,0,0,0,0,0
1687314497.8250504.jpg,0,1,0,0,0,0,0,0
1687313405.1814473.jpg,0,0,0,0,1,0,0,0
1687314181.186218.jpg,0,0,0,0,0,0,1,0
1687314465.3231027.jpg,0,1,0,0,0,0,0,0
1687147384.28596.jpg,1,0,0,1,0,0,0,0
1687312044.4230149.jpg,0,0,0,0,0,0,0,1
1682042816.9019241.jpg,1,0,0,0,0,0,0,0
1687313313.3510463.jpg,0,0,1,0,1,0,0,0
1682065043.25773.jpg,0,0,0,0,0,0,0,1
1687312708.2455525.jpg,0,0,1,0,0,0,0,0
1682232737.1260345.jpg,0,0,0,0,0,0,1,0
1687313386.1498456.jpg,0,0,0,0,1,0,0,0
1687314696.9217322.jpg,1,0,0,0,0,0,0,0
1687327096.0642824.jpg,0,0,0,0,0,1,0,0
1687313687.2629056.jpg,0,0,1,0,1,0,0,0
1687312643.0826118.jpg,0,0,1,0,0,0,0,0
1682060178.9019675.jpg,0,0,0,1,0,0,0,0
1687314662.4595656.jpg,1,0,0,0,0,0,0,0
1687314437.713173.jpg,0,1,0,0,0,0,0,0
1687312705.051821.jpg,0,0,1,0,0,0,0,0
